name,gender,race
Zuph,m,indian
Zuraara,m,indian
Zurvan,m,indian
Zuti,m,indian
Amritleen,m,indian
Amritpal,m,indian
Amru,m,indian
Amrutchandra,m,indian
Amshu,m,indian
Amshul,m,indian
Amuk,m,indian
Amul,m,indian
Amyas,m,indian
Anaad,m,indian
Anaadi,m,indian
Anaan,m,indian
Anadi,m,indian
Anadjot,m,indian
Anagh,m,indian
Anahid,m,indian
Anakin,m,indian
Anal,m,indian
Anamitra,m,indian
Anand,m,indian
Anand,m,indian
Anand Swarup,m,indian
Anandjot,m,indian
Anandleen,m,indian
Anandmoorti,m,indian
Anandroop,m,indian
Anandsagar,m,indian
Budhasutacakrasmavara,m,indian
Budhil,m,indian
Bukka,m,indian
Bundar,m,indian
Bunty,m,indian
Bunty,m,indian
Burhaan,m,indian
Burhan,m,indian
Burjor,m,indian
Burney,m,indian
Burt,m,indian
Burton,m,indian
Burzafrah,m,indian
Burzafrid,m,indian
Burzasp,m,indian
Burzin,m,indian
Burzincheher,m,indian
Burzinkurush,m,indian
Burzinmeher,m,indian
Buster,m,indian
Butch,m,indian
Buz,m,indian
Buzargmeher,m,indian
Byrne,m,indian
Byron,m,indian
Bysshe,m,indian
Durvish,m,indian
Durward,m,indian
Dushyant,m,indian
Dushyanta,m,indian
Dustin,m,indian
Dusty,m,indian
Dvaimatura,m,indian
Dvigesh,m,indian
Dvimidha,m,indian
Dwaarakanath,m,indian
Dwaipayan,m,indian
Dwaipayana,m,indian
Dwane,m,indian
Dwaraka,m,indian
Dwaraka das,m,indian
Dwaraka-Nath,m,indian
Dwarakadaas,m,indian
Dwarakadas,m,indian
Dwarakanath,m,indian
Dwarkadhish,m,indian
Dwarkanath,m,indian
Dwayne,m,indian
Dwight,m,indian
Dwijaraj,m,indian
Dwijendra,m,indian
Dwijesh,m,indian
Dyal,m,indian
Dye,m,indian
Dyl,m,indian
Dylan,m,indian
Dyotin,m,indian
Dyson,m,indian
Dyuksa,m,indian
Dyumani,m,indian
Dyumat,m,indian
Dyutit,m,indian
Estmond,m,indian
Estmund,m,indian
Etash,m,indian
Ethan,m,indian
Ethelbert,m,indian
Ethelhard,m,indian
Ethelred,m,indian
Ethelric,m,indian
Ethelstan,m,indian
Ethelwolf,m,indian
Ettan,m,indian
Euan,m,indian
Eugene,m,indian
Euseby,m,indian
Eustace,m,indian
Evan,m,indian
Everard,m,indian
Everett,m,indian
Everitt,m,indian
Evyavan,m,indian
Ewain,m,indian
Ewan,m,indian
Ewane,m,indian
Ewart,m,indian
Ewen,m,indian
Ezekiel,m,indian
Ezra,m,indian
Frodo,m,indian
Fuad,m,indian
Fudail,m,indian
Fujai,m,indian
Fulk,m,indian
Fulke,m,indian
Furqaan,m,indian
Furqau,m,indian
Fuwad,m,indian
Guru,m,indian
Gurubachan,m,indian
Gurubachan,m,indian
Gurucharan,m,indian
Gurucharan,m,indian
Gurudas,m,indian
Gurudas,m,indian
Gurudatt,m,indian
Gurudatt,m,indian
Gurudeep,m,indian
Gurudeva,m,indian
Gurudeva,m,indian
Gurudutt,m,indian
Gurudutt,m,indian
Gurusharan,m,indian
Gurusharan,m,indian
Guruttam,m,indian
Guruttam,m,indian
Gurveer,m,indian
Gurvinder,m,indian
Gus,m,indian
Gushnasp,m,indian
Gushtahm,m,indian
Gushtasp,m,indian
Gustadji,m,indian
Guy,m,indian
Gyan,m,indian
Gyan,m,indian
Gyandeep,m,indian
Gyandev,m,indian
Gyanendra,m,indian
Gyaneshwar,m,indian
Gyles,m,indian
Gysbert,m,indian
Hunaid,m,indian
Hunayn,m,indian
Huntley,m,indian
Huraira,m,indian
Hurayth,m,indian
Hurditya,m,indian
Hurley,m,indian
Hurmat,m,indian
Hurrah,m,indian
Husaam,m,indian
Husam,m,indian
Husni,m,indian
Husrav,m,indian
Hussain,m,indian
Hussein,m,indian
Hutan,m,indian
Huthayfa,m,indian
Huvaspa,m,indian
Huxley,m,indian
Huzayfah,m,indian
Huzayl,m,indian
Huzvak,m,indian
Hvarechaeshman,m,indian
Hvarechithrairanshah,m,indian
Hyder,m,indian
Hyram,m,indian
Iyaad,m,indian
Iyaas,m,indian
Iyad,m,indian
Iyengar,m,indian
Iyyappan,m,indian
Izad,m,indian
Izadyar,m,indian
Izhar,m,indian
Izz,m,indian
Izz Udeen,m,indian
Izzaldin,m,indian
Izzat,m,indian
Juthamah,m,indian
Jwalant,m,indian
Jwalaprasad,m,indian
Jwalia,m,indian
Jyestha,m,indian
Jyotheesh,m,indian
Jyothish,m,indian
Jyotichandra,m,indian
Jyotindra,m,indian
Jyotiprakash,m,indian
Jyotiraaditya,m,indian
Jyotiranjan,m,indian
Jyotirdhar,m,indian
Jyotirmaya,m,indian
Jyotirmoy,m,indian
Jyotis,m,indian
Kusumakar,m,indian
Kusumesh,m,indian
Kuval,m,indian
Kuvar,m,indian
Kuvarji,m,indian
Kuzhagan,m,indian
Kuzhandai,m,indian
Kvanh,m,indian
Kynaston,m,indian
Kyran,m,indian
Luther,m,indian
Luv,m,indian
Luvya,m,indian
Luwai,m,indian
Lyle,m,indian
Lyndon,m,indian
Lynton,m,indian
Lysander,m,indian
Mufid,m,indian
Mufiz,m,indian
Muflih,m,indian
Mufti,m,indian
Mughith,m,indian
Mughni,m,indian
Muhaajir,m,indian
Muhafiz,m,indian
Muhaimin,m,indian
Muhajir,m,indian
Muhamad,m,indian
Muhammad,m,indian
Muhannad,m,indian
Muharrim,m,indian
Muhaymin,m,indian
Muhdee,m,indian
Muheet,m,indian
Muhib,m,indian
Muhriz,m,indian
Muhsin,m,indian
Muhtadi,m,indian
Muhtady,m,indian
Muhtashim,m,indian
Muhyddeen,m,indian
Muhyee,m,indian
Mujaahid,m,indian
Mujaddid,m,indian
Mujahid,m,indian
Mujazziz,m,indian
Mujeeb,m,indian
Mujtaba,m,indian
Mukarram,m,indian
Mukesh,m,indian
Mukhlis,m,indian
Mukhtaar,m,indian
Mukhtar,m,indian
Mukil,m,indian
Muktanand,m,indian
Muktananda,m,indian
Muktidaya,m,indian
Mukul,m,indian
Mukund,m,indian
Mukut,m,indian
Mulayl,m,indian
Mulkraj,m,indian
Mumin,m,indian
Mumtaz,m,indian
Nusayb,m,indian
Nusayr,m,indian
Nush,m,indian
Nushadar,m,indian
Nushanth,m,indian
Nushazar,m,indian
Nushzad,m,indian
Nuved,m,indian
Ormond,m,indian
Ormonde,m,indian
Orrell,m,indian
Orrin,m,indian
Orson,m,indian
Orvadasp,m,indian
Orval,m,indian
Orville,m,indian
Osama,m,indian
Osbert,m,indian
Osborn,m,indian
Osbourne,m,indian
Oscar,m,indian
Osgood,m,indian
Osheen,m,indian
Osman,m,indian
Osmond,m,indian
Ossama,m,indian
Ossian,m,indian
Oswald,m,indian
Othello,m,indian
Othniel,m,indian
Otis,m,indian
Otniel,m,indian
Ottakoothan,m,indian
Ottis,m,indian
Ovi,m,indian
Owen,m,indian
Owin,m,indian
Owyn,m,indian
Oz,m,indian
Ozzie,m,indian
Ozzy,m,indian
Puzhman,m,indian
Pyarelal,m,indian
Pyaremohan,m,indian
Qudrat,m,indian
Quds,m,indian
Quentin,m,indian
Quin,m,indian
Quincey,m,indian
Quincy,m,indian
Quinlan,m,indian
Quinn,m,indian
Quintin,m,indian
Quinton,m,indian
Quraish,m,indian
Qurban,m,indian
Qusay,m,indian
Qusta,m,indian
Qutaybah,m,indian
Qutb,m,indian
Qutbah,m,indian
Qutub,m,indian
Qutub,m,indian
Ryaan,m,indian
Ryan,m,indian
Ryan,m,indian
Rydle,m,indian
Rylan,m,indian
Ryna,m,indian
Shayel,m,indian
Shaylan,m,indian
Shealtiel,m,indian
Sheamus,m,indian
Sheehan,m,indian
Sheehan,m,indian
Sheetalnath,m,indian
Sheetanshu,m,indian
Sheherazad,m,indian
Sheherbaraz,m,indian
Sheil,m,indian
Shekhar,m,indian
Shelah,m,indian
Sheldon,m,indian
Shelomi,m,indian
Shelton,m,indian
Shelumiel,m,indian
Shem,m,indian
Shemaiah,m,indian
Shemuel,m,indian
Tyrell,m,indian
Tyron,m,indian
Tyrone,m,indian
Tyrrell,m,indian
Tyson,m,indian
Ushnisin,m,indian
Usman,m,indian
Usman,m,indian
Utai,m,indian
Utanka,m,indian
Utbah,m,indian
Uthai,m,indian
Uthmaa N,m,indian
Uthman,m,indian
Utkars,m,indian
Utkarsh,m,indian
Utpal,m,indian
Utpal,m,indian
Utpalaksh,m,indian
Utsav,m,indian
Utshav,m,indian
Uttal,m,indian
Uttam,m,indian
Uttam,m,indian
Uttamesh,m,indian
Uttamjodh,m,indian
Uttamjot,m,indian
Uttamleen,m,indian
Uttampreet,m,indian
Uttamreet,m,indian
Uttamroop,m,indian
Uttamveer,m,indian
Uttar,m,indian
Uttarak,m,indian
Uttiya,m,indian
Uwais,m,indian
Uwayam,m,indian
Uways,m,indian
Uz,m,indian
Uzal,m,indian
Uzayr,m,indian
Uzia,m,indian
Uziah,m,indian
Uziel,m,indian
Uzzia,m,indian
Uzziah,m,indian
Uzziel,m,indian
Vyshnav,m,indian
Wil,m,indian
Wilber,m,indian
Wilbur,m,indian
Wilburn,m,indian
Wiley,m,indian
Wilf,m,indian
Wilford,m,indian
Wilfred,m,indian
Wilfrid,m,indian
Wilkie,m,indian
Will,m,indian
Willard,m,indian
William,m,indian
Willie,m,indian
Willis,m,indian
Willoughby,m,indian
Willy,m,indian
Wilmer,m,indian
Wilmot,m,indian
Wilson,m,indian
Wilton,m,indian
Windsor,m,indian
Winfred,m,indian
Winfrid,m,indian
Winslow,m,indian
Winston,m,indian
Winthrop,m,indian
Wisaam,m,indian
Wolf,m,indian
Wolfe,m,indian
Woodrow,m,indian
Woody,m,indian
Wright,m,indian
Wyatt,m,indian
Wyconda,m,indian
Wymond,m,indian
Wymund,m,indian
Wyn,m,indian
Wynn,m,indian
Wyot,m,indian
Wystan,m,indian
Xan,m,indian
Xavier,m,indian
Xavior,m,indian
Xzavier,m,indian
Yuvraj,m,indian
Yuyutsu,m,indian
Ywain,m,indian
Zirakzadeh,m,indian
Zisyarupin,m,indian
Ziyaad,m,indian
Ziyad,m,indian
Zobhana,m,indian
Zohaib,m,indian
Zohoor,m,indian
Zola,m,indian
Zola,m,indian
Zonair,m,indian
Zophai,m,indian
Zoraiz,m,indian
Zorawar,m,indian
Zosar,m,indian
Zravasya,m,indian
Zreh,m,indian
Zrimat,m,indian
Zubair,m,indian
Zubhasamanvit,m,indian
Zubhatmaka,m,indian
Zubin,m,indian
Zubin,m,indian
Zubin,m,indian
Zufar,m,indian
Zuhair,m,indian
Zuhayr,m,indian
Zuhoor,m,indian
Zujaar,m,indian
Zukr,m,indian
Zulaym,m,indian
Zulfaqar,m,indian
Zulkifl,m,indian
Zunnoon,m,indian
Zuph,m,indian
Zuraara,m,indian
Zurvan,m,indian
Zuti,m,indian
Anang,m,indian
Anani,m,indian
Ananiah,m,indian
Ananias,m,indian
Ananmaya,m,indian
Anant,m,indian
Anant,m,indian
Anantacaritra,m,indian
Anantachidrupamayam,m,indian
Anantadrishti,m,indian
Anantajeet,m,indian
Anantamati,m,indian
Anantarjot,m,indian
Anantavikrama,m,indian
Anantdev,m,indian
Anantnath,m,indian
Anantram,m,indian
Ananyo,m,indian
Anaoshak,m,indian
Anas,m,indian
Anasah,m,indian
Anass,m,indian
Anathakrishnan,m,indian
Anav,m,indian
Anay,m,indian
Anbarasu,m,indian
Anbu,m,indian
Anbuchelvan,m,indian
Anbumadi,m,indian
Anderson,m,indian
Andre,m,indian
Andrew,m,indian
Budhasutacakrasmavara,m,indian
Budhil,m,indian
Bukka,m,indian
Bundar,m,indian
Bunty,m,indian
Bunty,m,indian
Burhaan,m,indian
Burhan,m,indian
Burjor,m,indian
Burney,m,indian
Burt,m,indian
Burton,m,indian
Burzafrah,m,indian
Burzafrid,m,indian
Burzasp,m,indian
Burzin,m,indian
Burzincheher,m,indian
Burzinkurush,m,indian
Burzinmeher,m,indian
Buster,m,indian
Butch,m,indian
Buz,m,indian
Buzargmeher,m,indian
Byrne,m,indian
Byron,m,indian
Bysshe,m,indian
Durvish,m,indian
Durward,m,indian
Dushyant,m,indian
Dushyanta,m,indian
Dustin,m,indian
Dusty,m,indian
Dvaimatura,m,indian
Dvigesh,m,indian
Dvimidha,m,indian
Dwaarakanath,m,indian
Dwaipayan,m,indian
Dwaipayana,m,indian
Dwane,m,indian
Dwaraka,m,indian
Dwaraka das,m,indian
Dwaraka-Nath,m,indian
Dwarakadaas,m,indian
Dwarakadas,m,indian
Dwarakanath,m,indian
Dwarkadhish,m,indian
Dwarkanath,m,indian
Dwayne,m,indian
Dwight,m,indian
Dwijaraj,m,indian
Dwijendra,m,indian
Dwijesh,m,indian
Dyal,m,indian
Dye,m,indian
Dyl,m,indian
Dylan,m,indian
Dyotin,m,indian
Dyson,m,indian
Dyuksa,m,indian
Dyumani,m,indian
Dyumat,m,indian
Dyutit,m,indian
Estmond,m,indian
Estmund,m,indian
Etash,m,indian
Ethan,m,indian
Ethelbert,m,indian
Ethelhard,m,indian
Ethelred,m,indian
Ethelric,m,indian
Ethelstan,m,indian
Ethelwolf,m,indian
Ettan,m,indian
Euan,m,indian
Eugene,m,indian
Euseby,m,indian
Eustace,m,indian
Evan,m,indian
Everard,m,indian
Everett,m,indian
Everitt,m,indian
Evyavan,m,indian
Ewain,m,indian
Ewan,m,indian
Ewane,m,indian
Ewart,m,indian
Ewen,m,indian
Ezekiel,m,indian
Ezra,m,indian
Frodo,m,indian
Fuad,m,indian
Fudail,m,indian
Fujai,m,indian
Fulk,m,indian
Fulke,m,indian
Furqaan,m,indian
Furqau,m,indian
Fuwad,m,indian
Guru,m,indian
Gurubachan,m,indian
Gurubachan,m,indian
Gurucharan,m,indian
Gurucharan,m,indian
Gurudas,m,indian
Gurudas,m,indian
Gurudatt,m,indian
Gurudatt,m,indian
Gurudeep,m,indian
Gurudeva,m,indian
Gurudeva,m,indian
Gurudutt,m,indian
Gurudutt,m,indian
Gurusharan,m,indian
Gurusharan,m,indian
Guruttam,m,indian
Guruttam,m,indian
Gurveer,m,indian
Gurvinder,m,indian
Gus,m,indian
Gushnasp,m,indian
Gushtahm,m,indian
Gushtasp,m,indian
Gustadji,m,indian
Guy,m,indian
Gyan,m,indian
Gyan,m,indian
Gyandeep,m,indian
Gyandev,m,indian
Gyanendra,m,indian
Gyaneshwar,m,indian
Gyles,m,indian
Gysbert,m,indian
Hunaid,m,indian
Hunayn,m,indian
Huntley,m,indian
Huraira,m,indian
Hurayth,m,indian
Hurditya,m,indian
Hurley,m,indian
Hurmat,m,indian
Hurrah,m,indian
Husaam,m,indian
Husam,m,indian
Husni,m,indian
Husrav,m,indian
Hussain,m,indian
Hussein,m,indian
Hutan,m,indian
Huthayfa,m,indian
Huvaspa,m,indian
Huxley,m,indian
Huzayfah,m,indian
Huzayl,m,indian
Huzvak,m,indian
Hvarechaeshman,m,indian
Hvarechithrairanshah,m,indian
Hyder,m,indian
Hyram,m,indian
Iyaad,m,indian
Iyaas,m,indian
Iyad,m,indian
Iyengar,m,indian
Iyyappan,m,indian
Izad,m,indian
Izadyar,m,indian
Izhar,m,indian
Izz,m,indian
Izz Udeen,m,indian
Izzaldin,m,indian
Izzat,m,indian
Juthamah,m,indian
Jwalant,m,indian
Jwalaprasad,m,indian
Jwalia,m,indian
Jyestha,m,indian
Jyotheesh,m,indian
Jyothish,m,indian
Jyotichandra,m,indian
Jyotindra,m,indian
Jyotiprakash,m,indian
Jyotiraaditya,m,indian
Jyotiranjan,m,indian
Jyotirdhar,m,indian
Jyotirmaya,m,indian
Jyotirmoy,m,indian
Jyotis,m,indian
Kusumakar,m,indian
Kusumesh,m,indian
Kuval,m,indian
Kuvar,m,indian
Kuvarji,m,indian
Kuzhagan,m,indian
Kuzhandai,m,indian
Kvanh,m,indian
Kynaston,m,indian
Kyran,m,indian
Luther,m,indian
Luv,m,indian
Luvya,m,indian
Luwai,m,indian
Lyle,m,indian
Lyndon,m,indian
Lynton,m,indian
Lysander,m,indian
Mumtaz,m,indian
Muna,m,indian
Munadi,m,indian
Munaf,m,indian
Munawwar,m,indian
Mundakarama,m,indian
Mundhir,m,indian
Muneeb,m,indian
Muneef,m,indian
Muneendra,m,indian
Muneer,m,indian
Muni,m,indian
Muni,m,indian
Munikrishna,m,indian
Munim,m,indian
Munindra,m,indian
Munindra,m,indian
Munir,m,indian
Munis,m,indian
Munish,m,indian
Munisuvrat,m,indian
Munjal,m,indian
Munjid,m,indian
Munkadir,m,indian
Munna,m,indian
Munna,m,indian
Munqad,m,indian
Munsif,m,indian
Muntaqim,m,indian
Muntasir,m,indian
Munthir,m,indian
Munzir,m,indian
Muqaddas,m,indian
Muqaffa,m,indian
Muqatadir,m,indian
Muqbil,m,indian
Muqeet,m,indian
Muqsit,m,indian
Muqtadir,m,indian
Muqtasid,m,indian
Muraaree,m,indian
Murabbi,m,indian
Murad,m,indian
Murad,m,indian
Murad,m,indian
Muralee,m,indian
Murali,m,indian
Muralidhar,m,indian
Muralimanohar,m,indian
Murarah,m,indian
Murari,m,indian
Murarilal,m,indian
Murdad,m,indian
Murdanie,m,indian
Murdie,m,indian
Nusayb,m,indian
Nusayr,m,indian
Nush,m,indian
Nushadar,m,indian
Nushanth,m,indian
Nushazar,m,indian
Nushzad,m,indian
Nuved,m,indian
Ormond,m,indian
Ormonde,m,indian
Orrell,m,indian
Orrin,m,indian
Orson,m,indian
Orvadasp,m,indian
Orval,m,indian
Orville,m,indian
Osama,m,indian
Osbert,m,indian
Osborn,m,indian
Osbourne,m,indian
Oscar,m,indian
Osgood,m,indian
Osheen,m,indian
Osman,m,indian
Osmond,m,indian
Ossama,m,indian
Ossian,m,indian
Oswald,m,indian
Othello,m,indian
Othniel,m,indian
Otis,m,indian
Otniel,m,indian
Ottakoothan,m,indian
Ottis,m,indian
Ovi,m,indian
Owen,m,indian
Owin,m,indian
Owyn,m,indian
Oz,m,indian
Ozzie,m,indian
Ozzy,m,indian
Puzhman,m,indian
Pyarelal,m,indian
Pyaremohan,m,indian
Qudrat,m,indian
Quds,m,indian
Quentin,m,indian
Quin,m,indian
Quincey,m,indian
Quincy,m,indian
Quinlan,m,indian
Quinn,m,indian
Quintin,m,indian
Quinton,m,indian
Quraish,m,indian
Qurban,m,indian
Qusay,m,indian
Qusta,m,indian
Qutaybah,m,indian
Qutb,m,indian
Qutbah,m,indian
Qutub,m,indian
Qutub,m,indian
Ryaan,m,indian
Ryan,m,indian
Ryan,m,indian
Rydle,m,indian
Rylan,m,indian
Ryna,m,indian
Shephatiah,m,indian
Sher,m,indian
Sher,m,indian
Sher,m,indian
Sherfiruz,m,indian
Shergir,m,indian
Sheriadji,m,indian
Sheridan,m,indian
Sherlock,m,indian
Sherman,m,indian
Sheroy,m,indian
Shershah,m,indian
Sherveen,m,indian
Sherwin,m,indian
Sherwood,m,indian
Shesanand,m,indian
Shesh,m,indian
Sheshdhar,m,indian
Shevantilal,m,indian
Shiamak,m,indian
Shibhya,m,indian
Shibil,m,indian
Shidasp,m,indian
Shidush,m,indian
Shifwat,m,indian
Shighra,m,indian
Shihab,m,indian
Shikhandin,m,indian
Shikhar,m,indian
Shikivahanar,m,indian
Shilang,m,indian
Tyrell,m,indian
Tyron,m,indian
Tyrone,m,indian
Tyrrell,m,indian
Tyson,m,indian
Ushnisin,m,indian
Usman,m,indian
Usman,m,indian
Utai,m,indian
Utanka,m,indian
Utbah,m,indian
Uthai,m,indian
Uthmaa N,m,indian
Uthman,m,indian
Utkars,m,indian
Utkarsh,m,indian
Utpal,m,indian
Utpal,m,indian
Utpalaksh,m,indian
Utsav,m,indian
Utshav,m,indian
Uttal,m,indian
Uttam,m,indian
Uttam,m,indian
Uttamesh,m,indian
Uttamjodh,m,indian
Uttamjot,m,indian
Uttamleen,m,indian
Uttampreet,m,indian
Uttamreet,m,indian
Uttamroop,m,indian
Uttamveer,m,indian
Uttar,m,indian
Uttarak,m,indian
Uttiya,m,indian
Uwais,m,indian
Uwayam,m,indian
Uways,m,indian
Uz,m,indian
Uzal,m,indian
Uzayr,m,indian
Uzia,m,indian
Uziah,m,indian
Uziel,m,indian
Uzzia,m,indian
Uzziah,m,indian
Uzziel,m,indian
Vyshnav,m,indian
Wil,m,indian
Wilber,m,indian
Wilbur,m,indian
Wilburn,m,indian
Wiley,m,indian
Wilf,m,indian
Wilford,m,indian
Wilfred,m,indian
Wilfrid,m,indian
Wilkie,m,indian
Will,m,indian
Willard,m,indian
William,m,indian
Willie,m,indian
Willis,m,indian
Willoughby,m,indian
Willy,m,indian
Wilmer,m,indian
Wilmot,m,indian
Wilson,m,indian
Wilton,m,indian
Windsor,m,indian
Winfred,m,indian
Winfrid,m,indian
Winslow,m,indian
Winston,m,indian
Winthrop,m,indian
Wisaam,m,indian
Wolf,m,indian
Wolfe,m,indian
Woodrow,m,indian
Woody,m,indian
Wright,m,indian
Wyatt,m,indian
Wyconda,m,indian
Wymond,m,indian
Wymund,m,indian
Wyn,m,indian
Wynn,m,indian
Wyot,m,indian
Wystan,m,indian
Xan,m,indian
Xavier,m,indian
Xavior,m,indian
Xzavier,m,indian
Yuvraj,m,indian
Yuyutsu,m,indian
Ywain,m,indian
Zirakzadeh,m,indian
Zisyarupin,m,indian
Ziyaad,m,indian
Ziyad,m,indian
Zobhana,m,indian
Zohaib,m,indian
Zohoor,m,indian
Zola,m,indian
Zola,m,indian
Zonair,m,indian
Zophai,m,indian
Zoraiz,m,indian
Zorawar,m,indian
Zosar,m,indian
Zravasya,m,indian
Zreh,m,indian
Zrimat,m,indian
Zubair,m,indian
Zubhasamanvit,m,indian
Zubhatmaka,m,indian
Zubin,m,indian
Zubin,m,indian
Zubin,m,indian
Zufar,m,indian
Zuhair,m,indian
Zuhayr,m,indian
Zuhoor,m,indian
Zujaar,m,indian
Zukr,m,indian
Zulaym,m,indian
Zulfaqar,m,indian
Zulkifl,m,indian
Zunnoon,m,indian
Zuph,m,indian
Zuraara,m,indian
Zurvan,m,indian
Zuti,m,indian
Aneel,m,indian
Aneesh,m,indian
Aneesh,m,indian
Anek,m,indian
Anesh,m,indian
Angaar,m,indian
Angad,m,indian
Angad,m,indian
Angada,m,indian
Angaj,m,indian
Angak,m,indian
Angamuthu,m,indian
Angith,m,indian
Angus,m,indian
Aniij,m,indian
Anik,m,indian
Anikait,m,indian
Aniket,m,indian
Budhasutacakrasmavara,m,indian
Budhil,m,indian
Bukka,m,indian
Bundar,m,indian
Bunty,m,indian
Bunty,m,indian
Burhaan,m,indian
Burhan,m,indian
Burjor,m,indian
Burney,m,indian
Burt,m,indian
Burton,m,indian
Burzafrah,m,indian
Burzafrid,m,indian
Burzasp,m,indian
Burzin,m,indian
Burzincheher,m,indian
Burzinkurush,m,indian
Burzinmeher,m,indian
Buster,m,indian
Butch,m,indian
Buz,m,indian
Buzargmeher,m,indian
Byrne,m,indian
Byron,m,indian
Bysshe,m,indian
Durvish,m,indian
Durward,m,indian
Dushyant,m,indian
Dushyanta,m,indian
Dustin,m,indian
Dusty,m,indian
Dvaimatura,m,indian
Dvigesh,m,indian
Dvimidha,m,indian
Dwaarakanath,m,indian
Dwaipayan,m,indian
Dwaipayana,m,indian
Dwane,m,indian
Dwaraka,m,indian
Dwaraka das,m,indian
Dwaraka-Nath,m,indian
Dwarakadaas,m,indian
Dwarakadas,m,indian
Dwarakanath,m,indian
Dwarkadhish,m,indian
Dwarkanath,m,indian
Dwayne,m,indian
Dwight,m,indian
Dwijaraj,m,indian
Dwijendra,m,indian
Dwijesh,m,indian
Dyal,m,indian
Dye,m,indian
Dyl,m,indian
Dylan,m,indian
Dyotin,m,indian
Dyson,m,indian
Dyuksa,m,indian
Dyumani,m,indian
Dyumat,m,indian
Dyutit,m,indian
Estmond,m,indian
Estmund,m,indian
Etash,m,indian
Ethan,m,indian
Ethelbert,m,indian
Ethelhard,m,indian
Ethelred,m,indian
Ethelric,m,indian
Ethelstan,m,indian
Ethelwolf,m,indian
Ettan,m,indian
Euan,m,indian
Eugene,m,indian
Euseby,m,indian
Eustace,m,indian
Evan,m,indian
Everard,m,indian
Everett,m,indian
Everitt,m,indian
Evyavan,m,indian
Ewain,m,indian
Ewan,m,indian
Ewane,m,indian
Ewart,m,indian
Ewen,m,indian
Ezekiel,m,indian
Ezra,m,indian
Frodo,m,indian
Fuad,m,indian
Fudail,m,indian
Fujai,m,indian
Fulk,m,indian
Fulke,m,indian
Furqaan,m,indian
Furqau,m,indian
Fuwad,m,indian
Guru,m,indian
Gurubachan,m,indian
Gurubachan,m,indian
Gurucharan,m,indian
Gurucharan,m,indian
Gurudas,m,indian
Gurudas,m,indian
Gurudatt,m,indian
Gurudatt,m,indian
Gurudeep,m,indian
Gurudeva,m,indian
Gurudeva,m,indian
Gurudutt,m,indian
Gurudutt,m,indian
Gurusharan,m,indian
Gurusharan,m,indian
Guruttam,m,indian
Guruttam,m,indian
Gurveer,m,indian
Gurvinder,m,indian
Gus,m,indian
Gushnasp,m,indian
Gushtahm,m,indian
Gushtasp,m,indian
Gustadji,m,indian
Guy,m,indian
Gyan,m,indian
Gyan,m,indian
Gyandeep,m,indian
Gyandev,m,indian
Gyanendra,m,indian
Gyaneshwar,m,indian
Gyles,m,indian
Gysbert,m,indian
Hunaid,m,indian
Hunayn,m,indian
Huntley,m,indian
Huraira,m,indian
Hurayth,m,indian
Hurditya,m,indian
Hurley,m,indian
Hurmat,m,indian
Hurrah,m,indian
Husaam,m,indian
Husam,m,indian
Husni,m,indian
Husrav,m,indian
Hussain,m,indian
Hussein,m,indian
Hutan,m,indian
Huthayfa,m,indian
Huvaspa,m,indian
Huxley,m,indian
Huzayfah,m,indian
Huzayl,m,indian
Huzvak,m,indian
Hvarechaeshman,m,indian
Hvarechithrairanshah,m,indian
Hyder,m,indian
Hyram,m,indian
Iyaad,m,indian
Iyaas,m,indian
Iyad,m,indian
Iyengar,m,indian
Iyyappan,m,indian
Izad,m,indian
Izadyar,m,indian
Izhar,m,indian
Izz,m,indian
Izz Udeen,m,indian
Izzaldin,m,indian
Izzat,m,indian
Juthamah,m,indian
Jwalant,m,indian
Jwalaprasad,m,indian
Jwalia,m,indian
Jyestha,m,indian
Jyotheesh,m,indian
Jyothish,m,indian
Jyotichandra,m,indian
Jyotindra,m,indian
Jyotiprakash,m,indian
Jyotiraaditya,m,indian
Jyotiranjan,m,indian
Jyotirdhar,m,indian
Jyotirmaya,m,indian
Jyotirmoy,m,indian
Jyotis,m,indian
Kusumakar,m,indian
Kusumesh,m,indian
Kuval,m,indian
Kuvar,m,indian
Kuvarji,m,indian
Kuzhagan,m,indian
Kuzhandai,m,indian
Kvanh,m,indian
Kynaston,m,indian
Kyran,m,indian
Luther,m,indian
Luv,m,indian
Luvya,m,indian
Luwai,m,indian
Lyle,m,indian
Lyndon,m,indian
Lynton,m,indian
Lysander,m,indian
Murdo,m,indian
Murdoch,m,indian
Murdock,m,indian
Murdy,m,indian
Murgatroyd,m,indian
Murgesh,m,indian
Murli,m,indian
Murlidhar,m,indian
Murray,m,indian
Mursal,m,indian
Murshid,m,indian
Murtaad,m,indian
Murtadaa,m,indian
Murtadhy,m,indian
Murtagh,m,indian
Murtaja,m,indian
Murthy,m,indian
Murty,m,indian
Muruga,m,indian
Muruga Vel,m,indian
Murugadas,m,indian
Murugan,m,indian
Murugappan,m,indian
Murugavel,m,indian
Murugesh,m,indian
Murukan,m,indian
Musa,m,indian
Musaaid,m,indian
Musad,m,indian
Musaddiq,m,indian
Musawwir,m,indian
Musharraf,m,indian
Musheer,m,indian
Musheer,m,indian
Mushfiq,m,indian
Mushtaaq,m,indian
Mushtaq,m,indian
Musikvahana,m,indian
Muslih,m,indian
Muslim,m,indian
Mustaba,m,indian
